"id","length","latency"
"t38",280.883779170737,100
"t53",128.630246631781,100
"t73",193.594872992389,100
"t80",22.2783741617608,20.0505367455847
"t82",77.5879347225543,69.8291412502989
"t40",364.078200351094,100
"t9",335.706023784766,100
"t48",27.0239907131613,24.3215916418452
"t35",161.192083038168,100
"t99",28.3380991152565,25.5042892037308
"t3",4.233319597329,3.8099876375961
"t4",5.23970049628088,4.71573044665279
"t14",67.5823417856645,60.8241076070981
"t91",147.206995689891,100
"t75",20.2539390058425,18.2285451052583
"t56",360.906026601979,100
"t92",99.372938603577,89.4356447432193
"t13",154.786821413255,100
"t7",135.975318005368,100
"t63",53.0299297316078,47.726936758447
"t59",34.5895610268699,31.1306049241829
"t89",81.3405247837554,73.2064723053799
"t57",26.0058918934087,23.4053027040678
"t64",53.455796148246,48.1102165334214
"t88",28.0100033673093,25.2090030305784
"t11",203.296363845561,100
"t28",81.9095193578805,73.7185674220925
"t77",40.9390701753259,36.8451631577933
"t74",286.57142068954,100
"t85",117.752902805466,100
"t5",235.002085544083,100
"t69",328.082511202283,100
"t95",484.202054543268,100
"t78",5.64449501386844,5.08004551248159
"t52",21.3367531882855,19.2030778694569
"t68",8.89912014537549,8.00920813083794
"t79",75.4667574105224,67.9200816694702
"t36",136.281762540857,100
"t94",149.323782673577,100
"t83",154.350285430939,100
"t1",145.010793391052,100
"t55",111.367446448162,100
"t50",211.969211402434,100
"t76",247.292356087522,100
"t67",223.139088307456,100
"t24",192.482248572521,100
"t71",124.960475224393,100
"t46",101.867052851628,100
"t6",53.8037920600914,48.4234128540822
"t2",73.2092554597939,65.8883299138145
"id","length","latency"
"t92",49.9307629602882,44.9376866642594
"t19",104.773820065367,100
"t5",48.7519279522265,43.8767351570039
"t90",115.076304907865,100
"t26",101.519779747472,100
"t97",17.6973023832297,15.9275721449068
"t67",153.081549970728,100
"t8",115.813927554815,100
"t15",83.1728065810182,74.8555259229164
"t23",147.83060854905,100
"t14",84.6383821290822,76.174543916174
"t57",157.491390535812,100
"t50",179.649751898205,100
"t81",69.1432114302802,62.2288902872522
"t11",6.0367008717003,5.43303078453027
"t98",120.978893217286,100
"t22",2.0217069791438,1.81953628122942
"t100",5.42520579066513,4.88268521159862
"t86",23.3196844543741,20.9877160089367
"t60",149.436358621541,100
"t20",106.212958762339,100
"t40",200.986328184164,100
"t49",41.9335232908052,37.7401709617247
"t3",51.8237446906933,46.6413702216239
"t12",35.9444486607831,32.3500037947048
"t34",668.306027587033,100
"t96",94.5263912029022,85.073752082612
"t7",17.9675496769187,16.1707947092268
"t51",149.066781940604,100
"t79",45.3488940943957,40.8140046849562
"t2",88.1340795252231,79.3206715727008
"t33",46.7412875550112,42.0671587995101
"t43",183.572618399103,100
"t24",53.3940042512709,48.0546038261438
"t78",55.5897351901376,50.0307616711239
"t37",120.98644851663,100
"t9",146.561571808841,100
"t85",182.958998386695,100
"t35",20.4503028715485,18.4052725843936
"t17",430.659712048093,100
"t94",9.00980370729894,8.10882333656905
"t61",179.501873850221,100
"t42",224.579168980549,100
"t69",35.5895046730011,32.030554205701
"t83",215.036866591634,100
"t73",415.531755471733,100
"t1",273.394470997789,100
"t25",198.743178294792,100
"t18",337.312485780972,100
"t28",333.835522671585,100
"id","length","latency"
"t12",0.915434271917434,0.82389084472569
"t90",9.0099220920265,8.10892988282385
"t6",111.224957822794,100
"t69",2.68939768959922,2.4204579206393
"t3",11.6903263199798,10.5212936879818
"t86",384.560439140033,100
"t83",28.729312261655,25.8563810354895
"t28",13.9172860109696,12.5255574098727
"t71",35.0434934816168,31.5391441334551
"t35",22.1819901081574,19.9637910973416
"t8",317.486793050063,100
"t20",123.768009121238,100
"t31",81.7760637434004,73.5984573690604
"t54",94.0746851578004,84.6672166420204
"t14",114.376083040833,100
"t19",102.052956756643,100
"t91",90.288844490946,81.2599600418514
"t37",99.408831368945,89.4679482320505
"t5",259.315086384853,100
"t50",165.584330775853,100
"t53",563.207661304399,100
"t92",79.0096103283809,71.1086492955428
"t46",14.053133908679,12.6478205178111
"t95",25.0148302602474,22.5133472342227
"t11",58.48547708007,52.636929372063
"t27",0.725215643499951,0.652694079149956
"t44",88.9210052499957,80.0289047249961
"t56",397.140593694994,100
"t79",23.2946723618575,20.9652051256717
"t76",106.752698788533,100
"t21",69.5012493486008,62.5511244137407
"t13",62.2542944893764,56.0288650404388
"t63",122.216657252322,100
"t51",188.942468774557,100
"t58",174.121252630754,100
"t62",10.5581758290502,9.50235824614522
"t4",153.497158664288,100
"t64",71.2759461140172,64.1483515026155
"t59",13.327500246359,11.9947502217231
"t15",256.269832977059,100
"t68",42.2606375060545,38.0345737554491
"t80",55.2282366842014,49.7054130157813
"t45",185.136437660167,100
"t81",211.029093611332,100
"t52",0.745221311179421,0.670699180061479
"t36",381.975654674169,100
"t77",52.6240909815897,47.3616818834307
"t40",553.987260607776,100
"t41",164.368057261719,100
"t67",146.659653856591,100
"id","length","latency"
"t83",111.570846916759,100
"t91",132.825460837808,100
"t66",28.5784091215122,25.720568209361
"t90",12.558403790636,11.3025634115724
"t52",47.3351265899676,42.6016139309708
"t99",32.5266446536084,29.2739801882476
"t18",114.388818330154,100
"t96",270.471635581921,100
"t8",89.6458303113277,80.6812472801949
"t100",39.8785244274243,35.8906719846819
"t38",25.0526922722984,22.5474230450685
"t55",124.300971956823,100
"t72",20.8912225088657,18.8021002579791
"t21",11.8234044366654,10.6410639929989
"t85",14.3827587016817,12.9444828315136
"t45",29.967924878556,26.9711323907004
"t39",69.6020120318221,62.6418108286399
"t14",119.856459653126,100
"t58",36.7490129496655,33.0741116546989
"t54",7.71813587285033,6.94632228556529
"t15",66.3747206419803,59.7372485777822
"t22",20.4457551493051,18.4011796343746
"t20",164.86859455493,100
"t56",54.9187957271174,49.4269161544057
"t29",98.4585794173113,88.6127214755802
"t23",164.840438663096,100
"t27",109.581367751907,100
"t61",77.5571215808263,69.8014094227437
"t71",181.187545189245,100
"t93",126.032340048024,100
"t44",290.066722112514,100
"t60",10.3801030196955,9.34209271772597
"t86",116.507996245683,100
"t49",5.1715966225438,4.65443696028942
"t32",398.211980909498,100
"t77",28.833517015471,25.9501653139239
"t98",1.49684424554107,1.34715982098696
"t9",82.7245405862955,74.4520865276659
"t57",184.335571139442,100
