"Median","RMSE","Scale","AIC","NULL.AIC"
0.0270260498041157,0.0443616898338686,2888.78867144178,-261.850719639161,-39.4471826581373
0.00167267516855753,0.0443616898338686,2888.78867144178,-261.850719639161,-39.4471826581373
0.0222901323633036,0.0666935737380418,1425.50264404202,-236.260637456874,-110.560179354881
-0.0104631653526011,0.0666935737380418,1425.50264404202,-236.260637456874,-110.560179354881
0.0194724361354119,0.0625335788669411,2283.40309353807,-262.655445544931,-76.4506614723005
0.000271874262016718,0.0625335788669411,2283.40309353807,-262.655445544931,-76.4506614723005
0.0392354218623451,0.0670596633991847,1575.09744655604,-301.842430523278,-118.429982191681
0.00440761720468712,0.0670596633991847,1575.09744655604,-301.842430523278,-118.429982191681
0.0177395028436153,0.0459644860915853,1998.36560672385,-235.608392072276,-118.239855001994
-0.0144315663619008,0.0459644860915853,1998.36560672385,-235.608392072276,-118.239855001994
0.0191087817715858,0.0433636056023056,2456.40150937836,-293.060507260806,-76.5035880355363
-0.000492133882273421,0.0433636056023056,2456.40150937836,-293.060507260806,-76.5035880355363
0.0290833722514037,0.0802703625609292,1729.61392549857,-252.237007734919,-78.0170750178505
-0.000491964950005011,0.0802703625609292,1729.61392549857,-252.237007734919,-78.0170750178505
0.0355433863834926,0.0678279477858467,1962.61375719469,-272.011851685945,-83.3811515020962
0.009331833762963,0.0678279477858467,1962.61375719469,-272.011851685945,-83.3811515020962
0.0314737274829236,0.0685958788608259,1518.05687563663,-287.662384765763,-91.641050876159
-0.00361445838315977,0.0685958788608259,1518.05687563663,-287.662384765763,-91.641050876159
0.0344420817828796,0.0634015769153096,1622.2030390549,-285.962858859014,-122.616745876838
-0.00135543249080968,0.0634015769153096,1622.2030390549,-285.962858859014,-122.616745876838
0.0260756619751341,0.047734855741717,2406.6098229867,-267.857913606988,-94.8836301981688
0.00822519504450816,0.047734855741717,2406.6098229867,-267.857913606988,-94.8836301981688
0.0217499658065072,0.0480004689522234,3505.76724455103,-225.879355260508,-31.2168264754007
-0.00557999846801579,0.0480004689522234,3505.76724455103,-225.879355260508,-31.2168264754007
0.0225017470325992,0.0413412029177576,2705.57228259218,-268.346215628003,-45.6243638115455
0.000493363514023516,0.0413412029177576,2705.57228259218,-268.346215628003,-45.6243638115455
0.00703715238139682,0.038307613007212,3285.67071641054,-278.261882612271,-46.311123228728
-0.00732349685785978,0.038307613007212,3285.67071641054,-278.261882612271,-46.311123228728
0.0236187962294048,0.0719463255843721,1781.62051302503,-272.213868215081,-74.7827638272265
-0.0050902889387504,0.0719463255843721,1781.62051302503,-272.213868215081,-74.7827638272265
0.0176545990386365,0.102473488283894,1295.76228899182,-275.758110618938,-130.057658264456
-0.00687660707613819,0.102473488283894,1295.76228899182,-275.758110618938,-130.057658264456
0.0191913882575107,0.0691527932086557,1540.6682881071,-264.360186254893,-121.42875061681
-0.0178932802343321,0.0691527932086557,1540.6682881071,-264.360186254893,-121.42875061681
0.00942339291635023,0.0412404293895255,3205.00112396673,-249.61126289401,-29.7570295091548
-0.00561848000756098,0.0412404293895255,3205.00112396673,-249.61126289401,-29.7570295091548
0.0256048909239875,0.0396645698064628,3575.39973433229,-265.864734913675,-14.5479590045605
0.00659447495593046,0.0396645698064628,3575.39973433229,-265.864734913675,-14.5479590045605
0.00485775448325438,0.0731004985956951,2354.01318108297,-225.783516012804,-49.38120356328
-0.00425753001803847,0.0731004985956951,2354.01318108297,-225.783516012804,-49.38120356328
0.0188092765910844,0.0858770459195804,1868.2739570334,-243.747279128709,-97.2754753559431
-0.0209101725540936,0.0858770459195804,1868.2739570334,-243.747279128709,-97.2754753559431
0.0200464867276377,0.0906896308015318,1893.92394157561,-226.733608824317,-65.2891986746679
-0.0182316807253961,0.0906896308015318,1893.92394157561,-226.733608824317,-65.2891986746679
0.024072081320457,0.062581140020861,1790.31386711581,-303.269530994569,-91.6256312816657
0.00240236867952885,0.062581140020861,1790.31386711581,-303.269530994569,-91.6256312816657
0.022718217712049,0.0393418995060831,3125.77372974227,-290.187412000971,-57.7985116262021
0.00283304140246456,0.0393418995060831,3125.77372974227,-290.187412000971,-57.7985116262021
0.0353434775568846,0.073354392181679,1960.81899174245,-258.079014858376,-81.1939866548269
0.00513972748269024,0.073354392181679,1960.81899174245,-258.079014858376,-81.1939866548269
0.0415027462598801,0.105762570153865,1109.99990020385,-285.289522729309,-144.877895877886
0.00752203782478978,0.105762570153865,1109.99990020385,-285.289522729309,-144.877895877886
0.0330159241338166,0.0832062516530954,1252.54346412568,-257.739475245035,-146.354620863618
-0.0131924923466901,0.0832062516530954,1252.54346412568,-257.739475245035,-146.354620863618
0.0234577966057384,0.0496705977162455,1940.65112809675,-274.966843370457,-100.263200812809
