"Median","RMSE","Scale","AIC","NULL.AIC"
-0.288081722413301,0.322447703739016,2798,-100.087820558159,-97.4455045594211
0.0215844683764765,0.182352197866559,3346,-461.657098650414,-307.716187395014
-1.09267181149563,1.65637636708997,4715,-80.1345705302105,-81.5529184115886
0.270779073254576,1.26485699805014,1976,-1092.62746521951,-1077.91202599734
-0.0989854032160857,1.44631653284817,2713,-1041.91850470041,-1041.6620751955
0.0301359440325343,0.133076825702014,4837,-749.200123471373,-433.654485997883
0.0395375232575299,0.306232225161022,2616,-86.4182890054507,-65.6922836152375
-0.0296187786018415,0.217879880768791,2546,-88.2306785010111,-61.9365699003537
-0.0781393188777394,0.153612426841365,2277,-163.638186292176,-118.787908025946
-0.238321838278691,0.362641257770844,2025,-138.663310781996,-128.716517136899
1.00001397580017,0.941799063597385,383,-328.568859191121,-309.677477328521
0.0914141766718471,0.763519402135452,364,-96.0227210935965,-94.368082708264
-0.929540959006891,1.12763977235642,362,-201.516206553288,-202.991146652794
2.01584533035348,2.8557978140485,341,-202.746092427557,-204.456473496958
-1.5071797772985,1.41337702045561,478,-231.688152272239,-231.329416634378
-0.0195323662381184,0.172182646386408,1469,-298.740977725672,-228.270482337435
-1.27213259653298,2.61318643512334,305,-436.934117162724,-438.624478587158
0.25553279616333,0.393816016715837,335,-110.327646370607,-111.860512625155
3.84985210465386,20.7073080977282,548,-52.6058819135794,-54.5068869546575
0.0367443983014568,1.34698347565753,441,-348.608547624767,-341.345670856258
-0.456622856780129,0.89258860944074,463,-202.223543518605,-203.481598961657
0.431946478269408,0.556735915294603,3103,-334.139929386011,-323.964424391021
0.04979956650277,0.233261667847123,2373,-359.409365152069,-272.563508968164
-0.0606973223300777,0.322236644697343,2130,-199.657083100348,-165.646072637353
0.0029019543536816,0.19064629482993,3133,-474.506548012706,-357.550085822371
-0.019619309992139,4.14267578281193,1,0,0
