"Median","RMSE","Scale","AIC","NULL.AIC"
-0.288081722413301,0.319577115703432,2798,-100.087820558159,-97.4455045594211
0.0056759622380711,0.177949297633873,3346,-455.***REMOVED***78907472,-299.655226107901
-1.09267181149563,1.66406372214625,4715,-80.1345705302105,-81.5529184115886
0.44373162360425,1.19411445752886,1976,-958.654327684322,-941.48543587284
0.150253105231879,0.264715836530332,2713,-1119.58173238855,-1009.63779081253
0.0370639595034483,0.130016091354461,4837,-709.093199663883,-390.593478294235
0.208658011090075,0.453760858783578,2616,-86.4182890054507,-71.0631528562804
-0.0296187786018417,0.173150074320388,2546,-88.2306785010111,-61.9365699003537
-0.0489110792500076,0.136354944289841,2277,-163.638103045994,-118.787678138995
-0.148226704342743,0.266951055454153,2025,-138.663310781996,-128.716517136899
0.369889933154126,0.654602606475947,383,-296.403168382729,-297.804934171642
0.178723882878173,0.593398638563221,364,-94.5956457193944,-90.9776716828274
0.0143897010865511,0.286264994877098,362,-201.016893284968,-189.499885431468
2.0958950598829,1.85585797107444,341,-200.784793035407,-200.756236707225
0.0573998027906347,0.131929827891788,478,-238.204421353434,-174.073840915594
0.0725077871805958,0.16855606062791,1469,-288.234724338669,-221.671704381815
0.568953627833354,0.524928855911219,305,-442.176278398163,-348.524386995622
0.111683425323182,0.299456795906092,335,-198.421880078775,-188.451198525019
0.140027238955723,1.86404293844754,548,-33.6060648260462,-35.1415287426646
-0.0361590199146949,0.38421190917057,441,-308.048929631225,-287.522685718595
0.0879602746481226,0.189934635288183,463,-215.154812824583,-184.203237152555
1.26630400141047,1.19610391057925,3103,-334.139929386011,-323.964424391021
0.0319912328595664,0.142983894685828,2373,-422.047136433281,-222.712525855046
-0.0215248113899649,0.123068571804785,2130,-209.85211448564,-116.453524863781
-0.0144269048859526,0.159161060207157,3133,-475.454858975689,-328.097029358628
0.0143897010865511,0.760408606508706,1,0,0
